rule,name,base_trades,base_win,base_pf,enh_trades,enh_win,enh_pf,enh_avg,enh_sharpe
rule1,R1  Cam S3&R3 Inside CPR,6056,48.7,0.99,3720,57.6,1.02,0.012,0.1
rule2,R2  Narrow CPR,2425,51.2,1.08,1286,58.7,1.07,0.05,0.38
rule3,R3  Cross Above TC,1679,39.5,0.79,792,52.4,0.78,-0.21,-1.46
rule4,R4  Virgin CPR,4,50.0,3.58,0,0.0,0.0,0.0,0.0
rule5,R5  CPR + VWAP Confluence,7106,49.5,1.0,3825,57.5,1.07,0.048,0.41
rule6,R6  Wide CPR + Cam Extreme,1304,53.5,1.08,137,51.8,1.17,0.107,1.1
rule7,R7  CPR S/R Flip Retest,2138,60.5,1.57,0,0.0,0.0,0.0,0.0
rule8,R8  OR + CPR Aligned,6731,46.3,0.9,4836,56.5,0.96,-0.036,-0.28
rule9,R9  Pivot Magnetic Pull,7000,54.7,1.18,38,73.7,1.67,0.423,3.79
rule10,R10 Price Testing CPR S/R,200,55.5,1.71,0,0.0,0.0,0.0,0.0
rule11,R11 VWAP-to-TC Setup,1347,48.7,1.18,0,0.0,0.0,0.0,0.0
