rule,description,trades,n,win,pf,avg,sharpe,kelly,avg_mfe_pct,avg_mae_pct,mfe_ge_2p5,mfe_ge_3,mfe_ge_4,mfe_ge_5,pct_target,pct_trail,pct_t1cut,pct_held,opt_target_pct,opt_stop_pct
rule1,R1  Cam S3 OR R3 inside CPR band,533,533.0,69.8,2.01,0.708,4.91,35.0,2.677,-2.175,47.7,38.5,21.2,12.0,47.3,21.4,24.0,7.3,2.882,3.942
rule2,R2  Narrow CPR  (<0.5% width),539,539.0,71.6,1.89,0.613,4.18,33.8,2.472,-2.07,42.9,32.5,17.1,9.6,42.5,22.4,20.4,14.7,2.639,3.637
rule3,R3  Price crosses above TC (breakout),513,513.0,67.6,1.48,0.423,2.57,22.0,2.535,-2.388,43.9,34.1,19.3,11.5,43.1,22.6,27.5,6.8,2.693,3.872
rule4,R4  Virgin CPR  (prev day outside band),0,,,,,,,,,,,,,,,,,,
rule5,R5  CPR + VWAP confluence,629,629.0,66.8,1.72,0.543,3.77,28.0,2.436,-2.229,43.6,32.9,18.1,10.2,42.9,21.6,26.1,9.4,2.631,4.022
rule6,R6  Wide CPR + Camarilla extreme touch,31,31.0,61.3,0.76,-0.426,-1.61,-19.7,2.482,-3.01,51.6,38.7,22.6,16.1,51.6,9.7,35.5,3.2,2.912,5.565
rule7,R7  CPR Support/Resistance flip retest,86,86.0,67.4,2.62,0.709,6.14,41.7,2.234,-1.908,37.2,30.2,16.3,10.5,37.2,19.8,11.6,31.4,2.383,3.5
rule8,R8  Opening Range + CPR alignment,893,893.0,68.5,1.67,0.546,3.48,27.5,2.583,-2.318,46.9,35.9,18.7,10.8,46.0,21.4,25.6,6.9,2.797,4.236
rule9,R9  Pivot magnetic pull (2%+ from pivot),95,95.0,76.8,2.06,0.817,4.45,39.5,2.794,-2.522,57.9,44.2,22.1,13.7,55.8,24.2,20.0,0.0,3.124,4.254
rule10,R10 Price testing CPR S/R boundary,29,29.0,72.4,6.33,1.041,12.46,61.0,2.246,-0.751,34.5,24.1,17.2,10.3,34.5,10.3,6.9,48.3,2.141,1.994
rule11,R11 VWAP-to-TC setup,115,115.0,69.6,1.91,0.671,4.5,33.1,2.696,-2.169,47.8,40.0,20.9,12.2,47.8,23.5,23.5,5.2,2.994,3.994
