variant,rule,name,n,win,pf,avg,sharpe,pct_t1cut,pct_trail,pct_target,pct_held
T1=-0.5%,rule1,R1  Cam S3|R3 in CPR,522,61.5,1.71,0.537,3.77,34.7,15.3,43.9,6.1
T1=-0.5%,rule2,R2  Narrow CPR,539,62.7,1.68,0.485,3.44,32.8,16.1,39.7,11.3
T1=-0.5%,rule3,R3  Cross Above TC,428,56.5,1.35,0.296,2.0,40.9,15.2,38.3,5.6
T1=-0.5%,rule5,R5  CPR+VWAP Confluence,599,57.6,1.4,0.338,2.34,38.6,13.9,39.6,8.0
T1=-0.5%,rule6,R6  Wide+Cam Extreme,31,61.3,0.76,-0.426,-1.61,35.5,9.7,51.6,3.2
T1=-0.5%,rule7,R7  CPR S/R Flip Retest,86,58.1,2.16,0.562,4.91,29.1,11.6,34.9,24.4
T1=-0.5%,rule8,R8  OR+CPR Aligned,711,62.9,1.76,0.555,3.94,34.5,15.5,44.0,6.0
T1=-0.5%,rule10,R10 CPR S/R Test,29,62.1,3.57,0.791,8.74,20.7,0.0,31.0,48.3
T1=-0.5%,rule11,R11 VWAP-to-TC,115,62.6,1.6,0.491,3.27,33.9,17.4,44.3,4.3
T1=-0.8%(cur),rule1,R1  Cam S3|R3 in CPR,522,65.3,1.85,0.618,4.34,29.9,18.2,45.4,6.5
T1=-0.8%(cur),rule2,R2  Narrow CPR,539,66.6,1.74,0.53,3.67,26.7,19.1,40.8,13.4
T1=-0.8%(cur),rule3,R3  Cross Above TC,428,61.4,1.45,0.378,2.52,35.0,18.2,40.2,6.5
T1=-0.8%(cur),rule5,R5  CPR+VWAP Confluence,599,61.3,1.51,0.413,2.86,33.2,17.2,40.9,8.7
T1=-0.8%(cur),rule6,R6  Wide+Cam Extreme,31,61.3,0.76,-0.426,-1.61,35.5,9.7,51.6,3.2
T1=-0.8%(cur),rule7,R7  CPR S/R Flip Retest,86,61.6,2.35,0.625,5.48,19.8,15.1,36.0,29.1
T1=-0.8%(cur),rule8,R8  OR+CPR Aligned,711,66.7,1.83,0.608,4.23,29.0,18.6,45.1,7.3
T1=-0.8%(cur),rule10,R10 CPR S/R Test,29,65.5,4.12,0.84,9.52,13.8,6.9,31.0,48.3
T1=-0.8%(cur),rule11,R11 VWAP-to-TC,115,65.2,1.69,0.549,3.66,28.7,20.9,45.2,5.2
T1=-1.2%,rule1,R1  Cam S3|R3 in CPR,522,69.9,2.05,0.725,5.07,23.9,21.6,47.1,7.3
T1=-1.2%,rule2,R2  Narrow CPR,539,71.6,1.89,0.613,4.18,20.4,22.4,42.5,14.7
T1=-1.2%,rule3,R3  Cross Above TC,428,68.0,1.67,0.516,3.43,26.6,23.1,42.3,7.9
T1=-1.2%,rule5,R5  CPR+VWAP Confluence,599,66.3,1.68,0.521,3.6,26.2,21.9,42.2,9.7
T1=-1.2%,rule6,R6  Wide+Cam Extreme,31,61.3,0.76,-0.426,-1.61,35.5,9.7,51.6,3.2
T1=-1.2%,rule7,R7  CPR S/R Flip Retest,86,67.4,2.62,0.709,6.14,11.6,19.8,37.2,31.4
T1=-1.2%,rule8,R8  OR+CPR Aligned,711,70.9,1.97,0.685,4.69,23.1,21.7,46.7,8.6
T1=-1.2%,rule10,R10 CPR S/R Test,29,72.4,6.33,1.041,12.46,6.9,10.3,34.5,48.3
T1=-1.2%,rule11,R11 VWAP-to-TC,115,69.6,1.91,0.671,4.5,23.5,23.5,47.8,5.2
